Dedupe Key	Normalized Phone	Domain	Normalized Name	Market	Country	Business / Property	Source Rank
domain:willispropertymanagement.com	18304865051	willispropertymanagement.com	willis property management	Uvalde	USA	Willis Property Management	6594
domain:wirepropmgmt.com	19514985379	wirepropmgmt.com	wire property management	Murrieta	USA	WIRE Property Management	6595
domain:wisedoorpm.com	15623754101	wisedoorpm.com	wisedoor property management	Whittier	USA	WiseDoor Property Management	6596
domain:wolfpropmgmt.com	15128682093	wolfpropmgmt.com	wolf property management	Georgetown	USA	Wolf Property Management	6597
domain:wrightpg.com	12102983948	wrightpg.com	wright property management group	San Antonio	USA	Wright Property Management Group	6598
domain:wrightprop.com	16269671837	wrightprop.com	wright property management	Covina	USA	Wright Property Management	6599
domain:wwheliski.com	12506381186	wwheliski.com	white wilderness heliskiing	Terrace	Canada	White Wilderness Heliskiing	6600
domain:x.com	13614631972	x.com	costa bahia vacation rental	Port Aransas	USA	Costa Bahia Vacation Rental	6601
domain:xilarent.com	16196832728	xilarent.com	xila property management	San Diego	USA	XILA Property Management	6602
domain:yknotgetaway.net	13612263100	yknotgetaway.net	y knot getaway vacation rentals and property management	Aransas Pass	USA	Y KNOT GetawaY Vacation Rentals and Property Management	6603
domain:ymmpropertyrentals.ca	15872760444	ymmpropertyrentals.ca	jessie wyatt coldwell banker property management	Wood Buffalo	Canada	Jessie Wyatt- Coldwell Banker Property Management	6604
domain:youtu.be	18323755411	youtu.be	the outpost vacation rental fredericksburg texas	Fredericksburg	USA	The Outpost Vacation Rental Fredericksburg Texas	6605
domain:youtube.com	12527252166	youtube.com	big rock real estate property management	Morehead City	USA	Big Rock Real Estate & Property Management	6606
domain:zubor.ca	16044925050	zubor.ca	zubor property management	Coquitlam	Canada	Zubor Property Management	6607
domain:1107skicycle.com	18013891339	1107skicycle.com	1107ski cycle br	Midvale	USA	1107Ski&Cycle.BR	6608
domain:12hotel.gr	302426048894	12hotel.gr	12 months luxury resort	Περιφέρεια Θεσσαλίας	Greece	12 Months Luxury Resort	6609
domain:1929-residences.gr	302651200541	1929-residences.gr	1929 boutique residences	Ιωάννινα	Greece	1929 Boutique Residences	6610
domain:1spm.net	14706359494	1spm.net	1source property management llc	Peachtree City	USA	#1Source Property Management LLC	6611
domain:1stchoicerpm.com	15864199900	1stchoicerpm.com	1st choice realty property management	Shelby Twp	USA	1st Choice Realty & Property Management	6612
domain:1stmgtllc.com	13137720458	1stmgtllc.com	property management llc	Detroit	USA	Property Management LLC	6613
domain:21propertymanagement.com	2486889920	21propertymanagement.com	21 property management	Troy	USA	21 Property Management	6614
domain:336rental.com	13364460111	336rental.com	ahb realty and property management	Burlington	USA	AHB Realty and Property Management	6615
domain:3kalos.gr	306985120906	3kalos.gr	3kalos property management	Θεσσαλονίκη	Greece	3kalos Property Management	6616
domain:4avillas.com	38761760790	4avillas.com	4a villas elegant luxury holiday villas	Mostar	Italy	4a villas - elegant & luxury holiday villas	6617
domain:4lakespropertiesllc.com	17347249705	4lakespropertiesllc.com	4lakes property management	Dearborn	USA	4Lakes Property Management	6618
domain:4premier.net	13134837800	4premier.net	gardenview estates	Detroit	USA	Gardenview Estates	6619
domain:4seasonsvacations.com	13362462700	4seasonsvacations.com	4 seasons vacation rentals sales	Jefferson	USA	4 Seasons Vacation Rentals & Sales	6620
domain:4thavenuepropertymanagement.com	17708262426	4thavenuepropertymanagement.com	4th avenue property management and home sales	Buford	USA	4th Avenue Property Management and Home Sales	6621
domain:602nadia.realtor	16026952111	602nadia.realtor	nadia milchew pllc real estate professional metro phoenix arizona papago rim llc short term vacation rentals	Scottsdale	USA	Nadia Milchew, PLLC - Real Estate Professional - Metro Phoenix, Arizona * Papago Rim, LLC - Short Term & Vacation Rentals *	6622
domain:815property.com	18157587374	815property.com	815 property management sales	Sycamore	USA	815 Property Management & Sales	6623
domain:8essentially.com	306986561402	8essentially.com	8essentially hospitality property management project development	Χανιά	Greece	8essentially Hospitality Property Management & Project Development	6624
domain:99luxuryvillasnafplio.gr	306989473694	99luxuryvillasnafplio.gr	99 luxury exotic villas	Ναύπλιο	Greece	99 Luxury Exotic Villas	6625
domain:9musesvillasmykonos.com	306982891300	9musesvillasmykonos.com	9 muses villas	Μύκονος	Greece	9 Muses Villas	6626
domain:abbott-property.co.uk	441462685489	abbott-property.co.uk	abbott property management	Letchworth	United Kingdom	Abbott Property Management	6627
domain:abeenatlantic.com	447837372994	abeenatlantic.com	abeen atlantic holiday home portstewart	Portstewart	United Kingdom	Abeen Atlantic Holiday Home Portstewart	6628
domain:abelomilos.com	306970565934	abelomilos.com	abelomilos exclusive villas	Περιφερειακή Ενότητα Θήρας	Greece	Abelomilos Exclusive Villas	6629
domain:abelosvillas.gr	306981479204	abelosvillas.gr	abelos villas	Τρίπολη	Greece	Abelos Villas	6630
domain:ableproperty.org	15196719774	ableproperty.org	able property management	London	USA	ABLE Property Management	6631
domain:abodeltd.co.uk	441618832525	abodeltd.co.uk	abode property management nw ltd	Manchester	United Kingdom	Abode Property Management (NW) Ltd	6632
domain:aboveallpm.com	19193419555	aboveallpm.com	above all property management	Cary	USA	Above All Property Management	6633
domain:abresidences.com	902122492124	abresidences.com	ab residences istanbul	Beyoğlu	Greece	AB Residences Istanbul	6634
domain:absolutemountainpropertymanagement.com	18653331671	absolutemountainpropertymanagement.com	absolute mountain property management	Knoxville	USA	Absolute Mountain Property Management	6635
domain:absolutepms.co.uk	442920707590	absolutepms.co.uk	absolute property management solutions	Penarth	United Kingdom	Absolute Property Management Solutions	6636
domain:accentpropertymgmt.com	19709267292	accentpropertymgmt.com	accent property management	Edwards	USA	Accent Property Management	6637
domain:accesspmca.com	12095792373	accesspmca.com	access property management	Modesto	USA	Access Property Management	6638
domain:accommodationinsherwoodforest.co.uk	441623635725	accommodationinsherwoodforest.co.uk	bridleways guest house and holiday homes	Mansfield	United Kingdom	Bridleways Guest House and Holiday Homes	6639
domain:accountablepm.com	15103972210	accountablepm.com	accountable property management	Hayward	USA	Accountable Property Management	6640
domain:acedarcityrental.com	14358671136	acedarcityrental.com	era realty center property management	Cedar City	USA	ERA Realty Center - Property Management	6641
domain:acharavivillas.com	306945885754	acharavivillas.com	acharavivillas	Θινάλιο	Greece	AcharaviVillas	6642
domain:achillshoreview.com	353866019600	achillshoreview.com	achill shore view self catering holiday home	Westport	Ireland	Achill Shore View Self Catering Holiday Home	6643
domain:acmrents.com	15306137042	acmrents.com	acm property management	Grass Valley	USA	ACM Property Management	6644
domain:acorn-oak.com	13364430199	acorn-oak.com	acorn oak property management	Greensboro	USA	Acorn + Oak Property Management	6645
domain:acquadimare.gr	306979284333	acquadimare.gr	acqua di mare beachfront villas lefkada greece	Ελλομένο	Greece	Acqua Di Mare Beachfront Villas, Lefkada, Greece	6646
domain:acro-residences.com	302741031907	acro-residences.com	acro upscale residences	Κόρινθος	Greece	Acro Upscale Residences	6647
domain:acrothea.gr	306974759940	acrothea.gr	acrothea suites and villas	Θήρα	Greece	Acrothea Suites and Villas	6648
domain:actionmortgage.com	16508644966	actionmortgage.com	action residential mortgage property management	Burlingame	USA	Action Residential Mortgage & Property Management	6649
domain:activenation.org.uk	442380790970	activenation.org.uk	alpine snowsports southampton	Southampton	United Kingdom	Alpine Snowsports Southampton	6650
domain:adanalian.com	15594397368	adanalian.com	adanalian property management	Fresno	USA	Adanalian Property Management	6651
domain:adavillas.com	905321551016	adavillas.com	adavillas	Kuşadası	Greece	Adavillas	6652
domain:adriagate.com	385911658603	adriagate.com	holiday home marina	Postire	Italy	Holiday home Marina	6653
domain:adrianaluxuryvillas.com	306949564706	adrianaluxuryvillas.com	adriana luxury villas	Μήλος	Greece	Adriana Luxury Villas	6654
domain:adurproperty.net	441273252526	adurproperty.net	adur property management	Shoreham-by-Sea	United Kingdom	Adur Property Management	6655
domain:advantage4rent.com	16786048500	advantage4rent.com	advantage property management	McDonough	USA	Advantage Property Management	6656
domain:adventure-rentals.com	17158915464	adventure-rentals.com	adventure realty property management inc	Eagle River	USA	Adventure Realty & Property Management Inc.	6657
domain:aegeanvillage.gr	302245081194	aegeanvillage.gr	aegean village beachfront resort	Κάρπαθος	Greece	Aegean Village Beachfront Resort	6658
domain:aelia-suites.gr	306932637848	aelia-suites.gr	aelia collection villa	Linariá	Greece	Aelia Collection Villa	6659
domain:aenaonvillas.gr	302286027014	aenaonvillas.gr	aenaon villas	Περιφέρεια Νοτίου Αιγαίου	Greece	Aenaon Villas	6660
domain:aeoliavillas.gr	306976615488	aeoliavillas.gr	aeolia villas	Κάρυστος	Greece	Aeolia Villas	6661
domain:aequora-villas.com	306946124397	aequora-villas.com	aequora villas	Πάρος	Greece	Aequora Villas	6662
domain:aeriapartments.com	302593061426	aeriapartments.com	aeri villas	Prínos	Greece	Aeri Villas	6663
domain:aeridesvillas.com	306976418241	aeridesvillas.com	aerides villas naxos	Νάξος	Greece	Aerides Villas Naxos	6664
domain:aeriko-villas.gr	41782676771	aeriko-villas.gr	aeriko villas	Λευκάδα	Greece	Aeriko Villas	6665
domain:aestasbeachvilla.com		aestasbeachvilla.com	aestas beach villa	Παλλήνη	Greece	Aestas Beach Villa	6666
domain:afiwicapital.com	17544001020	afiwicapital.com	afiwi property management	Strongsville	USA	Afiwi Property Management	6667
domain:afkosgrammoshotel.gr	302467031534	afkosgrammoshotel.gr	afkos grammos boutique hotel resort	Δήμος Νεστορίου	Greece	Afkos Grammos Boutique Hotel Resort	6668
domain:agapivillas.gr	302286024575	agapivillas.gr	agapi villas santorini	Θήρα	Greece	Agapi Villas Santorini	6669
domain:agdavi.com	18313732222	agdavi.com	a g davi property management	Monterey	USA	A. G. Davi Property Management	6670
domain:agiakalivillas.gr	306978184423	agiakalivillas.gr	agia kali villas	Σκιάθος	Greece	Agia Kali Villas	6671
domain:agiosnikolaosvillas.com	306938272425	agiosnikolaosvillas.com	agios nikolaos beach villas	Άγιος Νικόλαος	Greece	Agios Nikolaos Beach Villas	6672
domain:aglluxuryvillas.com	302128063333	aglluxuryvillas.com	agl luxury villas mykonos	Μύκονος	Greece	AGL Luxury Villas Mykonos	6673
domain:agpm.ie	353876237877	agpm.ie	anthony galvin property management	Limerick	Ireland	Anthony Galvin Property Management	6674
domain:agrelia.gr	306986975778	agrelia.gr	agrelia seafront residences	Εξωμβούργο	Greece	Αγρέλια - Agrelia Seafront Residences	6675
domain:agrikies.com	41782321409	agrikies.com	agrikies villas lefkada	Λευκάδα	Greece	Agrikies Villas Lefkada	6676
domain:agrilidesvillas.gr	306979912960	agrilidesvillas.gr	agrilides villas	Λευκάδα	Greece	Agrilides Villas	6677
domain:agsquaredcompanyllc.com	14703480682	agsquaredcompanyllc.com	247 property management llc	Marietta	USA	247 Property Management, LLC	6678
domain:aguacatevillas.gr	306979697112	aguacatevillas.gr	aguacate villas tsilivi zakynthos	Αρκάδιοι	Greece	Aguacate Villas - Tsilivi Zakynthos	6679
domain:aidaluxuryvillas.gr	306945493480	aidaluxuryvillas.gr	aida luxury villas	Γούβες	Greece	Aida Luxury Villas	6680
domain:aijpropertymanagement.com	12488011031	aijpropertymanagement.com	aij property management	Farmington Hills	USA	AIJ Property Management	6681
domain:airbnb.co.uk	441407811132	airbnb.co.uk	ton y m r holiday rental rhosneigr	Rhosneigr	United Kingdom	Ton-y-Môr holiday rental Rhosneigr	6682
domain:airbnb.fr	447941660763	airbnb.fr	london holiday rental properties	London	United Kingdom	London Holiday Rental Properties	6683
domain:airbnb.gr	306971934016	airbnb.gr	elia boutique villas	Κοινότητα Αγίας Γαλήνης	Greece	ELIA Boutique Villas	6684
domain:airpeaceofmind.com	442038659109	airpeaceofmind.com	air peace of mind property management london	London	United Kingdom	Air Peace of Mind | Property Management London	6685
domain:akeavillas.gr	306982866826	akeavillas.gr	akea villas	Αρκάδιοι	Greece	Akea Villas	6686
domain:akemivilla.com	306948879395	akemivilla.com	akemi luxury villa	Ζάκυνθος	Greece	Akemi Luxury Villa	6687
domain:aktieliavillas.gr	306974494734	aktieliavillas.gr	aktieliavillas	Σιθωνία	Greece	Aktieliavillas	6688
domain:aktis.villas	306936119567	aktis.villas	alessandra luxury villas	Κασσάνδρα	Greece	Alessandra Luxury Villas	6689
domain:alamosarentals.com	17195895744	alamosarentals.com	century property management and sales	Alamosa	USA	Century Property Management and Sales	6690
domain:alarca.com	17049003354	alarca.com	alarca property management	Charlotte	USA	Alarca Property Management	6691
domain:albatrossvillas.gr	306979867319	albatrossvillas.gr	albatross villas	Ρόδος	Greece	Albatross villas	6692
domain:albussantorini.com	306985729613	albussantorini.com	albus villas	Θήρα	Greece	Albus Villas	6693
domain:alea-villas.gr	302622028888	alea-villas.gr	alea villas kourouta	Αμαλιάδα	Greece	Alea Villas Kourouta	6694
domain:aleavillas.gr	306973585798	aleavillas.gr	alea villas	Λευκάδα	Greece	Alea Villas	6695
domain:alegriaboutiquevillas.com	306956023867	alegriaboutiquevillas.com	alegria boutique villas	Λευκάδα	Greece	Alegria Boutique Villas	6696
domain:alexander-beach.com	302897032134	alexander-beach.com	alexander beach hotel village resort	Μάλια	Greece	Alexander Beach Hotel & Village Resort	6697
domain:alexandra-residence.gr	306972532595	alexandra-residence.gr	alexandra boutique residence	Αλεξανδρούπολη	Greece	Alexandra Boutique Residence	6698
domain:alexandragoldenhotel.com	302593058212	alexandragoldenhotel.com	alexandra golden boutique hotel	Θάσος	Greece	Alexandra Golden Boutique Hotel	6699
domain:alfieacres-ruralretreats.co.uk	447429367247	alfieacres-ruralretreats.co.uk	alfie acres holiday home hot tub and pool	Ely	United Kingdom	Alfie Acres Holiday Home - Hot Tub and Pool	6700
domain:alisahni.com	302244047278	alisahni.com	alisahni villas	Νότια Ρόδος	Greece	Alisahni Villas	6701
domain:alivialefkas.gr	306937075714	alivialefkas.gr	alivia lefkas luxury villas	Αποκεντρωμένη Διοίκηση Πελοποννήσου, Δυτικής Ελλάδας και Ιονίου	Greece	Alivia Lefkas Luxury Villas	6702
domain:alizeavilla.com	302286023051	alizeavilla.com	alizea villa	Θήρα	Greece	Alizea Villa	6703
domain:alkionapartments.gr	306932384692	alkionapartments.gr	alkion apartments villas	Γεωργιούπολη	Greece	Alkion Apartments & Villas	6704
domain:alkoclar.com.tr	902523671970	alkoclar.com.tr	la boutique alkoclar	Bodrum	Greece	La Boutique Alkoclar	6705
domain:alkyon-lefkada.gr	302645072222	alkyon-lefkada.gr	alkyon apartments and villas hotel	Λευκάδα	Greece	Alkyon Apartments and Villas Hotel	6706
domain:allaboutvillas.com	302109246619	allaboutvillas.com	milos retreat fusion	Zefiría	Greece	Milos Retreat Fusion	6707
domain:allcountybayarea.com	15109005400	allcountybayarea.com	all county bay area property management	Berkeley	USA	All County Bay Area Property Management	6708
domain:allcountyboulder.com	17204282100	allcountyboulder.com	all county boulder property management	Boulder	USA	All County Boulder Property Management	6709
domain:allcountycumberland.com	7704314633	allcountycumberland.com	all county cumberland property management	Atlanta	USA	All County Cumberland Property Management	6710
domain:allcountyds.com	17206644550	allcountyds.com	all county denver south property management	Littleton	USA	All County Denver South Property Management	6711
domain:allcountyexpert.com	17704508200	allcountyexpert.com	all county expert property management	Cumming	USA	All County Expert Property Management	6712
domain:allcountyfirst.com	14706907100	allcountyfirst.com	all county first property management	Atlanta	USA	All County First Property Management	6713
domain:allcountyfv.com	18475856565	allcountyfv.com	all county fox valley property management	South Barrington	USA	All County Fox Valley Property Management	6714
domain:allcountylegacy.com	14702642611	allcountylegacy.com	all county legacy property management	Snellville	USA	All County Legacy Property Management	6715
domain:allcountypiedmont.com	19802632900	allcountypiedmont.com	all county piedmont property management	Charlotte	USA	All County Piedmont Property Management	6716
domain:allcountypmsolutions.com	12244125500	allcountypmsolutions.com	all county property management solutions	Northbrook	USA	All County Property Management Solutions	6717
domain:allcountypriority.com	19843078700	allcountypriority.com	all county priority property management	Smithfield	USA	All County Priority Property Management	6718
domain:allcountyspecialists.com	18033439700	allcountyspecialists.com	all county property management specialists	Cayce	USA	All County Property Management Specialists	6719
domain:allegangardens.com	13124981355	allegangardens.com	allegan gardens vacation rental	Saugatuck	USA	Allegan Gardens Vacation Rental	6720
domain:alliancepropertiesmn.com	15072584034	alliancepropertiesmn.com	alliance property management	Rochester	USA	Alliance Property Management	6721
domain:allinthefamilyhomes.com	14803816252	allinthefamilyhomes.com	all in the family real estate and property management	Phoenix	USA	All in the Family Real Estate and Property Management	6722
domain:allisonwhiteproperties.com	18285787368	allisonwhiteproperties.com	allison white property management realty	Hickory	USA	Allison & White Property Management & Realty	6723
domain:allpropertyca.com	16503550167	allpropertyca.com	all property management services	Pacifica	USA	All Property Management Services	6724
domain:allpropertymanagement.com	15107960111	allpropertymanagement.com	all property management inc	Newark	USA	All Property Management Inc	6725
domain:allsaints-villas.gr	302665071700	allsaints-villas.gr	all saints villas luxury residences	Σύβοτα	Greece	All Saints Villas Luxury Residences	6726
domain:allureluxuryvillas.com	306976737354	allureluxuryvillas.com	allure luxury villas	Σκιάθος	Greece	Allure Luxury Villas	6727
domain:allurevacationrentals.com	18779997935	allurevacationrentals.com	allure vacation rentals	Brecksville	USA	Allure Vacation Rentals	6728
domain:ally-property.com	13086336440	ally-property.com	ally property management and real estate	Gering	USA	Ally Property Management and Real Estate	6729
domain:almaden4rent.com	14082680968	almaden4rent.com	almaden property management	San Jose	USA	Almaden Property Management	6730
domain:almaluxuryvillas.gr	306944837037	almaluxuryvillas.gr	alma luxury villas	Ιαλυσός	Greece	alma luxury villas	6731
domain:almare-villas.gr	306946344417	almare-villas.gr	al mare villas	Θάσος	Greece	Al Mare Villas	6732
domain:almondhillmgmt.com	15594207270	almondhillmgmt.com	almond hill property management inc	Fresno	USA	Almond Hill Property Management Inc.	6733
domain:almyravillas.com	306936690683	almyravillas.com	almyra luxury villas	Corfu	Greece	Almyra Luxury Villas	6734
domain:almyrosvillas.com	302663064711	almyrosvillas.com	almyros villas resort	Θινάλιο	Greece	Almyros Villas Resort	6735
domain:alnwicksprings.co.uk		alnwicksprings.co.uk	holiday homes for sale at alnwick springs in northumberland	Whitley Bay	United Kingdom	Holiday Homes For Sale At Alnwick Springs In Northumberland	6736
