Rank	Priority	Opportunity Score	Market	Country	Business / Property	Lead Type	Category	Address	Public Business Phone	Shared Phone Count	Rating	Reviews	Portfolio Potential	Suggested First Pitch	Maps Lookup	Enrichment Search	Source Ref	Harvested	Status	Notes	Official Website	Public Email	Contact Page	Instagram	Facebook	WhatsApp	Portfolio / Listing URL	Resolved Operator / Parent	Portfolio Signal	Primary Outreach Route	Enrichment Confidence	Enrichment Status	Enrichment Source URLs	Enrichment Notes	Column 36
6530	B	78	Austin	USA	Tower Property Management		property_management	1801 S Mopac Expy, Austin, TX	15125353700	1			High				overture:8a27b842-8ff6-4567-9ec6-21895e3d5729	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://www.towerprops.com/	info@towerprops.com		https://www.instagram.com/towerprops/							Medium	Recall-first	https://explore.overturemaps.org/#id=8a27b842-8ff6-4567-9ec6-21895e3d5729		
6531	B	78	Rockwall	USA	Royal Property Management		real_estate_agent	3125 Ridge Rd, Rockwall, TX	19727716970	1			High				overture:1071a745-fa02-4096-ae6c-eb09001b3584	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.tpgpropmanagement.com/	trinproptx@gmail.com									Medium	Recall-first	https://explore.overturemaps.org/#id=1071a745-fa02-4096-ae6c-eb09001b3584		
6532	B	78	Vancouver	Canada	Terra Property Management		property_management	2750 Rupert St, Vancouver, BC	16047368775	1			High				overture:35319a7f-c7f1-47f3-97eb-b3942455bc4e	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://tpmmanagement.ca/	tpminfo@tpmmanagement.ca									Medium	Recall-first	https://explore.overturemaps.org/#id=35319a7f-c7f1-47f3-97eb-b3942455bc4e		
6533	B	70	Vancouver	Canada	Trafalgar Management Ltd.		property_management	659a Moberly Rd, Vancouver, BC	16046770378	1			High				overture:b5e7acda-2541-4834-9514-9ae123d81ad5	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.trafalgarmgmt.com/	info@trafalgarmgmt.com									Medium	Recall-first	https://explore.overturemaps.org/#id=b5e7acda-2541-4834-9514-9ae123d81ad5		
6534	A	88	Okanagan-Similkameen	Canada	Trailside Cabin Rentals		cabin	3892 Princeton-Summerland Rd, Okanagan-Similkameen, BC	12502950812	1			High				overture:c679fa8c-7a93-4554-aff8-da40f84fa11b	2026-08-15	New		http://www.trailsidecabinrentals.ca/	trailsidecabinrentals@gmail.com		https://www.instagram.com/trailsidecabinrentals/							High	Verified	https://explore.overturemaps.org/#id=c679fa8c-7a93-4554-aff8-da40f84fa11b		
6535	B	78	Anaheim	USA	Treasure Property Management		property_management	751 S Weir Canyon Rd, Anaheim, CA	17148090734	1			High				overture:3905a431-ea5b-4da0-9d8d-df548b766aa9	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.TreasurePropertyManagement.com/	treasuredindustries@gmail.com									Medium	Recall-first	https://explore.overturemaps.org/#id=3905a431-ea5b-4da0-9d8d-df548b766aa9		
6536	B	78	Harker Heights	USA	Tri-City Property Management		property_management	439 E Central Texas Expy, Harker Heights, TX	12545267100	1			High				overture:2c5c5ab7-e251-4a0f-a47a-b55c4a5015b2	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.tricitypm.com/	tricity@tricitypm.com									Medium	Recall-first	https://explore.overturemaps.org/#id=2c5c5ab7-e251-4a0f-a47a-b55c4a5015b2		
6537	B	78	Troy	Canada	MNM Property Management		property_management	302 E Missoula Ave, Troy, MT	14062957391	1			High				overture:ccb3fd76-5880-4a5d-9db3-5d09d1243109	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.troylibby.com/	support@troylibby.com									Medium	Recall-first	https://explore.overturemaps.org/#id=ccb3fd76-5880-4a5d-9db3-5d09d1243109		
6538	B	78	Fort Worth	USA	True Guard Property Management		property_management	500 W 7th St, Fort Worth, TX	18174150706	1			High				overture:81ab5361-d280-4f7c-9772-c19eb5750f66	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.truedfw.com/	tom@truedfw.com		https://www.instagram.com/truedfw/							Medium	Recall-first	https://explore.overturemaps.org/#id=81ab5361-d280-4f7c-9772-c19eb5750f66		
6539	B	78	Kalispell	Canada	Truman Property Management		property_management	575 Sunset Blvd, Kalispell, MT	14064078256	1			High				overture:b3d45699-9870-4082-8eea-4f8cc68510c9	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://trumanrealestate.com/	chet@trumanrealestate.com									Medium	Recall-first	https://explore.overturemaps.org/#id=b3d45699-9870-4082-8eea-4f8cc68510c9		
6540	B	78	Georgetown	USA	Trustmark Property Management		property_management	4909 Williams Dr, Georgetown, TX	15125822445	1			High				overture:c01b75e1-df89-4afe-846a-20ce276e57bb	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://trustpm.com/	austin@trustpm.com									Medium	Recall-first	https://explore.overturemaps.org/#id=c01b75e1-df89-4afe-846a-20ce276e57bb		
6541	B	78	San Juan Capistrano	USA	TSG Independent Property Management		property_management	27129 Calle Arroyo, San Juan Capistrano, CA	19494810555	1			High				overture:79088840-8c51-4cbb-ad2a-8e22929ad057	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.tsgindependent.com/	george@tsgindependent.com									Medium	Recall-first	https://explore.overturemaps.org/#id=79088840-8c51-4cbb-ad2a-8e22929ad057		
6542	B	78	Victoria	USA	Tucker Property Management		property_management	125 Sherwood Dr, Victoria, TX	13615503937	1			High				overture:a3a2c816-b923-4c0a-a3ce-a55434dcbfc2	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.tuckerpm.com/	tom@tuckerpm.com									Medium	Recall-first	https://explore.overturemaps.org/#id=a3a2c816-b923-4c0a-a3ce-a55434dcbfc2		
6543	B	78	Paso Robles	USA	Turn-Key Property Management		property_management	1502 Park St, Paso Robles, CA	18052390795	1			High				overture:df22fa71-ce30-4053-97d7-5a6d0c05f45a	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.turn-keymgmt.com/	info@turn-keymgmt.com									Medium	Recall-first	https://explore.overturemaps.org/#id=df22fa71-ce30-4053-97d7-5a6d0c05f45a		
6544	A	91	Ucluelet	Canada	Two Beaches Boutique Suites		resort	302 Reef Point Rd, Ucluelet, BC	12505223002	1			High				overture:16829be8-2a6f-49bd-88dc-6c2483419cd3	2026-08-15	New		https://www.twobeaches.ca	twobeachessuites@gmail.com		https://www.instagram.com/twobeachessuites/							High	Verified	https://explore.overturemaps.org/#id=16829be8-2a6f-49bd-88dc-6c2483419cd3		
6545	B	78	Lewisville	USA	Two Thumbs Up Property Management		property_management	1671 Riverview Dr, Lewisville, TX	12142679713	1			High				overture:fb158dab-c8e4-4fe8-9819-037a3ab566f8	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://twothumbsuppropmgmt.com/	info@twothumbsuppropmgmt.com									Medium	Recall-first	https://explore.overturemaps.org/#id=fb158dab-c8e4-4fe8-9819-037a3ab566f8		
6546	B	78	Rosenberg	USA	ASC Realty Property Management		real_estate_service	4102 Avenue I, Rosenberg, TX	12812389112	1			High				overture:b3e4e4f1-efc8-49a6-9206-2034bed3106b	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.txhomesrealty.com	elsterascrealty@yahoo.com									Medium	Recall-first	https://explore.overturemaps.org/#id=b3e4e4f1-efc8-49a6-9206-2034bed3106b		
6547	A	91	Gold Bridge	Canada	Tyax Heliskiing		ski_resort	1 Tyaughton Lake Rd, Gold Bridge, BC	12502382221	1			High				overture:80f6ef27-755d-4269-9cb0-4bc3e1059245	2026-08-15	New		https://tyax.com/	sales@tyax.com									High	Verified	https://explore.overturemaps.org/#id=80f6ef27-755d-4269-9cb0-4bc3e1059245		
6548	B	78	Chula Vista	USA	Tyco Property Management Company		property_management	345 F St, Chula Vista, CA	16194251017	1			High				overture:fdcdf0b4-18a9-4d55-b7e0-d58d2a51dcc9	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.tycoproperties.com/	propertymanager@tycoproperties.com									Medium	Recall-first	https://explore.overturemaps.org/#id=fdcdf0b4-18a9-4d55-b7e0-d58d2a51dcc9		
6549	B	78	Calgary	Canada	Ultimate Property Management Inc		corporate_or_business_office	106-811 Manning Rd NE, Calgary, AB	4032873056	1			High				overture:9156cb48-191a-43a0-b8bf-3efaa24b23a5	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.ultimateproperty.ca	rona.atutubo@ultimateproperty.ca									Medium	Recall-first	https://explore.overturemaps.org/#id=9156cb48-191a-43a0-b8bf-3efaa24b23a5		
6550	B	78	Beverly Hills	USA	Unic Realty Property Management		property_management	269 S Beverly Dr, Beverly Hills, CA	13108773025	1			High				overture:0d323b1e-5bf8-47cb-939f-345c7b584c36	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.unicrealty.com/	unicrealty@yahoo.com									Medium	Recall-first	https://explore.overturemaps.org/#id=0d323b1e-5bf8-47cb-939f-345c7b584c36		
6551	B	78	Loma Linda	USA	United Property Management		property_management	10535 Anderson St, Loma Linda, CA	19097962897	1			High				overture:e100b7d5-3d90-4e82-82a7-f7879c002701	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.united-pm.com/	rentupm@outlook.com									Medium	Recall-first	https://explore.overturemaps.org/#id=e100b7d5-3d90-4e82-82a7-f7879c002701		
6552	B	78	San Diego	USA	Uplift Property Management		property_management	10620 Treena St Suite 230, San Diego, CA	18584497294	1			High				overture:d5023469-d96a-47b4-afad-4fec9d82c528	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://upliftpm.com/	info@upliftpm.com		https://www.instagram.com/upliftpropertiessd/							Medium	Recall-first	https://explore.overturemaps.org/#id=d5023469-d96a-47b4-afad-4fec9d82c528		
6553	B	78	Irvine	USA	Up Property Management		property_management	4000 Barranca Pkwy, Irvine, CA	19492292292	1			High				overture:6f4b3117-1b29-48e1-8ab2-8b4069a63ff8	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.uprealtyca.com	leonard@uprealtyca.com		https://www.instagram.com/up.property.mgmt/							Medium	Recall-first	https://explore.overturemaps.org/#id=6f4b3117-1b29-48e1-8ab2-8b4069a63ff8		
6554	B	78	Santa Cruz	USA	Santa Cruz Property Management-Utopia		property_management	343 Church St, Santa Cruz, CA	14083421111	1			High				overture:99676bbc-e3a9-4735-a0a3-b4d3b17291bb	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://utopiamanagement.com/	santacruz@utopiamanagement.com		https://www.instagram.com/utopiamanagementsac/							Medium	Recall-first	https://explore.overturemaps.org/#id=99676bbc-e3a9-4735-a0a3-b4d3b17291bb		
6555	A	88	Los Angeles	USA	Sterling Vacation Rentals		holiday_rental_home	5775 Whittier Blvd, Los Angeles, CA	14242742447	1			High				overture:16033e10-994c-41b4-9fb3-3182e1ec14a8	2026-08-15	New		http://vacationrentalsinla.net/	vacationrentalsinla@gmail.com									High	Verified	https://explore.overturemaps.org/#id=16033e10-994c-41b4-9fb3-3182e1ec14a8		
6556	A	91	Alliance	Canada	Valley Ski Club		ski_resort	Alliance Public Library, 103 1st Ave, Alliance, AB	17808792106	1			High				overture:64eb605c-03e6-4ca8-bc45-5a4e341981c5	2026-08-15	New		http://www.valleyskihill.ca/	info@valleyskihill.ca									High	Verified	https://explore.overturemaps.org/#id=64eb605c-03e6-4ca8-bc45-5a4e341981c5		
6557	B	78	San Diego	USA	Valor Property Management		property_management	3636 Camino del Rio N, San Diego, CA	16197712600	1			High				overture:d21526b8-6888-4964-9551-7371417aaf62	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.valorpropmgmt.com/	marketing@valorpropmgmt.com									Medium	Recall-first	https://explore.overturemaps.org/#id=d21526b8-6888-4964-9551-7371417aaf62		
6558	B	78	Bakersfield	USA	Vantage Property Management		property_management	9810 Brimhall Rd, Bakersfield, CA	16616646400	1			High				overture:355aabb2-d07d-40a4-8105-f955dd54bd79	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.vantage-pm.com/	info@vantage-pm.com									Medium	Recall-first	https://explore.overturemaps.org/#id=355aabb2-d07d-40a4-8105-f955dd54bd79		
6559	B	78	Peace River	Canada	VBV Property Management		property_management	10024 101 Ave, Peace River, AB	17806179990	1			High				overture:527fc518-7bb1-4125-b76b-df12918ecf2d	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.vbvmanagement.ca/	reception@vbvmanagement.ca		https://www.instagram.com/vbvpropertymanagement/							Medium	Recall-first	https://explore.overturemaps.org/#id=527fc518-7bb1-4125-b76b-df12918ecf2d		
6560	B	78	Camarillo	USA	VC House Hunter Property Management		property_management	401 Mobil Ave, Camarillo, CA	18055041810	1			High				overture:42b73f5a-82f6-4151-a13a-53079376fb6d	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://www.VChousehunter.com/	wendell@vchousehunter.com									Medium	Recall-first	https://explore.overturemaps.org/#id=42b73f5a-82f6-4151-a13a-53079376fb6d		
6561	B	78	Arcadia	USA	VELK Property Management Group		property_management	417 S 1st Ave, Arcadia, CA	16264458355	1			High				overture:b1c2af82-8b5a-4f2d-be56-0581d5402949	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.VELKPMG.com/	info@velkpmg.com									Medium	Recall-first	https://explore.overturemaps.org/#id=b1c2af82-8b5a-4f2d-be56-0581d5402949		
6562	B	78	Ventura	USA	Ventura Realty and Homes Property Management		property_management	1789 Monita Dr, Ventura, CA	18057943603	1			High				overture:c80e8b32-fef0-4473-89d9-53333fef86e5	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.venturarealtyandhomes.com/	bill@venturarealtyandhomes.com									Medium	Recall-first	https://explore.overturemaps.org/#id=c80e8b32-fef0-4473-89d9-53333fef86e5		
6563	B	78	Rancho Cucamonga	USA	Venture Property Management		property_management	9220 Haven Ave, Rancho Cucamonga, CA	19093081177	1			High				overture:6380fcb9-28c0-4a93-9ef2-e39bf2257bb1	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://venturepropertyinc.com/	info@venturepropertyinc.com									Medium	Recall-first	https://explore.overturemaps.org/#id=6380fcb9-28c0-4a93-9ef2-e39bf2257bb1		
6564	B	78	San Diego	USA	Vertical Horizon Real Estate & Property Management		property_management	300 W Beech St, San Diego, CA	16198473100	1			High				overture:57c290f3-ffa1-468a-9330-da41798e6dc6	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.verticalhorizonSD.com/	matt@verticalhorizonsd.com									Medium	Recall-first	https://explore.overturemaps.org/#id=57c290f3-ffa1-468a-9330-da41798e6dc6		
6565	B	78	San Diego	USA	Vestar Property Management		property_management	2907 Shelter Island Dr Ste 219, San Diego, CA	6192239400	1			High				overture:447ebc34-6b3a-462a-a989-d79ac9c628e5	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.vestar.com	dduncan@vestar.com									Medium	Recall-first	https://explore.overturemaps.org/#id=447ebc34-6b3a-462a-a989-d79ac9c628e5		
6566	B	78	Montebello	USA	VGS Property Management		property_management	540 N Montebello Blvd, Montebello, CA	17145845019	1			High				overture:9487024b-8139-432f-b90f-7340ae646fb0	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.vgspropertymanagement.com/	vgspropertymanagement@gmail.com		https://www.instagram.com/vgspropertymanagement/							Medium	Recall-first	https://explore.overturemaps.org/#id=9487024b-8139-432f-b90f-7340ae646fb0		
6567	A	88	Port Aransas	USA	Villa Blue - Vacation Rental		holiday_rental_home	301 E Avenue C, Port Aransas, TX	19703798921	1			High				overture:5e9665cb-1d1d-48b4-b3e9-648de40c0472	2026-08-15	New		http://www.villabluepa.com/	villabluepa@gmail.com		https://www.instagram.com/villabluepa/							High	Verified	https://explore.overturemaps.org/#id=5e9665cb-1d1d-48b4-b3e9-648de40c0472		
6568	A	91	Tuxcueca	USA	Villa San Luis Boutique		hotel	Avenida Álvaro Obregón 55, Tuxcueca	523330728751	1			High				overture:07bef96f-5ae1-4e74-9493-6c03be132128	2026-08-15	New		https://www.villasanluisboutique.com/	info@villasanluisboutique.com									High	Verified	https://explore.overturemaps.org/#id=07bef96f-5ae1-4e74-9493-6c03be132128		
6569	A	91	Rancho Santa Fe	USA	The Villas at Rancho Valencia		hotel	6134 Calle Valencia, Rancho Santa Fe, CA	18669966442	1			High				overture:3c864f7a-af25-4d3d-b979-86ba795ceb28	2026-08-15	New		http://villasranchovalencia.com/	info@villasranchovalencia.com		https://www.instagram.com/ranchovalencia/							High	Verified	https://explore.overturemaps.org/#id=3c864f7a-af25-4d3d-b979-86ba795ceb28		
6570	B	78	Hesperia	USA	Valley Insured Property Management		property_management	18275 Bear Valley Rd, Hesperia, CA	17602409535	1			High				overture:35867917-52d9-49c2-9a55-0cb11d34afbc	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.vippropertyinc.com	info@vippropertyinc.com									Medium	Recall-first	https://explore.overturemaps.org/#id=35867917-52d9-49c2-9a55-0cb11d34afbc		
6571	B	78	Bakersfield	USA	Viridis Property Management		property_management	5329 Office Center Ct, Bakersfield, CA	16614106557	1			High				overture:e6df5761-933d-4d8a-8fb4-6ceb5ad93d65	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://viridismgmt.com/	admin@viridismgmt.com									Medium	Recall-first	https://explore.overturemaps.org/#id=e6df5761-933d-4d8a-8fb4-6ceb5ad93d65		
6572	B	78	Rancho Cucamonga	USA	Vista Property Management Inc.		property_management	9113 Foothill Blvd, Rancho Cucamonga, CA	19096970823	1			High				overture:299cac7d-b816-4098-b823-b81356dfbea4	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://www.vistapropertyie.com/	info@vistapropertyie.com									Medium	Recall-first	https://explore.overturemaps.org/#id=299cac7d-b816-4098-b823-b81356dfbea4		
6573	B	78	Los Angeles	USA	Westhome Property Management		property_management	1901 Avenue of the Stars, Los Angeles, CA	13105668700	1			High				overture:624d1331-1f83-4d24-9f84-18640329642a	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	https://www.vivela.com/	westhomepmc@gmail.com		https://www.instagram.com/findyourvive/							Medium	Recall-first	https://explore.overturemaps.org/#id=624d1331-1f83-4d24-9f84-18640329642a		
6574	A	88	Bonsall	USA	Village Property Management		property_management	5256 S Mission Rd, Bonsall, CA	17607402310	1			High				overture:5946a432-6d5a-406f-8076-cd715ff40c14	2026-08-15	New		http://vpmhomes.com/	lauren@vpmhomes.com		https://www.instagram.com/vpmhomes/							High	Verified	https://explore.overturemaps.org/#id=5946a432-6d5a-406f-8076-cd715ff40c14		
6575	A	88	Palm Springs	USA	Village Property Management		property_management	333 N Palm Canyon Dr, Palm Springs, CA	17603254477	1			High				overture:c0eeea38-df2d-4b45-905b-917d66067016	2026-08-15	New		https://www.vpmrents.com/	frontoffice@vpmrents.com		https://www.instagram.com/vpmrents/							High	Verified	https://explore.overturemaps.org/#id=c0eeea38-df2d-4b45-905b-917d66067016		
6576	B	78	Cypress	USA	Avenue Property Management		property_management	5450 Orange Ave, Cypress, CA	17147156145	1			High				overture:e1c0e27f-93b9-4930-b727-0690a51cf94b	2026-08-15	New	Recall-first: plausible adjacent hospitality/STR buyer retained.	http://www.vppropertymgmt.com/	jwburtle@gmail.com		https://www.instagram.com/vp_propertymanagement/							Medium	Recall-first	https://explore.overturemaps.org/#id=e1c0e27f-93b9-4930-b727-0690a51cf94b		
