chunk,line,pre,reject_reason,name,market,country,norm_name,domain,phone,category,address,website,email,contact_page,instagram,facebook,whatsapp,portfolio,source_ref,source_url,fit,live,ambiguous
delta-github-run-31861026561-019.jsonl,17,ACCEPT,,Vacation Rental Management Association,Washington,USA,vacation rental management association,vrma.org,12023671179,social_or_community_service,"2001 K St NW, Washington, DC",http://www.vrma.org/,vrma@vrma.org,,,,,,overture:8904e5a4-b7ef-4063-a2fd-b10144a4b95d,https://explore.overturemaps.org/#id=8904e5a4-b7ef-4063-a2fd-b10144a4b95d,A,HIGH,1
delta-github-run-31861026561-019.jsonl,18,ACCEPT,,Warrior Property Management,Riverside,USA,warrior property management,warriorpropertymanagement.com,9517295009,property_management,"6600 Jurupa Ave Ste 115, Riverside, CA",http://www.warriorpropertymanagement.com,warriorcustomerservice@yahoo.com,,,,,,overture:283d3139-5e1a-4a6d-b12b-eaa8800c0d47,https://explore.overturemaps.org/#id=283d3139-5e1a-4a6d-b12b-eaa8800c0d47,A,PERMISSIVE,1
delta-github-run-31861026561-019.jsonl,19,ACCEPT,,Wayne Songy and Associates Real Estate Consultants and Property Management,Mandeville,USA,wayne songy and associates real estate consultants and property management,waynesongy.com,15044554500,real_estate_agent,"1011 N Causeway Blvd, Mandeville, LA",http://waynesongy.com/,waynesongyjr@gmail.com,,,,,,overture:5277488c-9667-4538-8f11-5845ed5df0ee,https://explore.overturemaps.org/#id=5277488c-9667-4538-8f11-5845ed5df0ee,A,HIGH,1
delta-github-run-31861026561-019.jsonl,20,ACCEPT,,WestMar Property Management,Temecula,USA,westmar property management,westmar.net,19514916310,property_management,"41623 Margarita Rd, Temecula, CA",http://www.westmar.net/,info@westmar.net,,,,,,overture:3846b559-5b45-4de6-bc7a-8c6b651973e0,https://explore.overturemaps.org/#id=3846b559-5b45-4de6-bc7a-8c6b651973e0,A,PERMISSIVE,1
delta-github-run-31861026561-019.jsonl,21,ACCEPT,,Westside Property Management,Culver City,USA,westside property management,westsidepropertymanagement.com,4242409378,property_management,"8107 Summertime Ln, Culver City, CA",http://www.westsidepropertymanagement.com,info@westsidepropertymanagement.com,,,,,,overture:f1ff0521-f17c-440e-aa06-a3352ea55cde,https://explore.overturemaps.org/#id=f1ff0521-f17c-440e-aa06-a3352ea55cde,A,PERMISSIVE,1
delta-github-run-31861026561-019.jsonl,22,ACCEPT,,West VenCo Property Management,Oxnard,USA,west venco property management,westvenco.com,18054865560,property_management,"3645 Saviers Rd, Oxnard, CA",http://www.WestVenCo.com/,westvenco@gmail.com,,,,,,overture:d588408e-dadd-4c27-8a1b-29f80b4b938a,https://explore.overturemaps.org/#id=d588408e-dadd-4c27-8a1b-29f80b4b938a,A,PERMISSIVE,1
delta-github-run-31861026561-019.jsonl,23,ACCEPT,,West View Real Estate & Property Management,Katy,USA,west view real estate property management,westviewtx.com,12818275795,real_estate_service,"27523 Morton Rd, Katy, TX",http://www.westviewtx.com/,shivani@westviewtx.com,,,,,,overture:343fef29-895e-4a43-acf2-0a7a08193427,https://explore.overturemaps.org/#id=343fef29-895e-4a43-acf2-0a7a08193427,A,PERMISSIVE,1
delta-github-run-31861026561-019.jsonl,24,ACCEPT,,WFLP Property Management,Lynchburg,USA,wflp property management,wflpmanagement.com,14346609092,property_management,"2050 Langhorne Rd, Lynchburg, VA",http://www.wflpmanagement.com/,wflpmanagement@gmail.com,,,,,,overture:b8a3f449-f495-4d8a-a4da-98fcf09cfeff,https://explore.overturemaps.org/#id=b8a3f449-f495-4d8a-a4da-98fcf09cfeff,A,PERMISSIVE,1
delta-github-run-31861026561-019.jsonl,25,ACCEPT,,Whiskey Acres - Vacation Rental,Hedgesville,USA,whiskey acres vacation rental,whiskeyacres.info,13042614559,holiday_rental_home,"781 Terrain Dr, Hedgesville, WV",http://whiskeyacres.info/,whiskeyacreswv@gmail.com,,,,,,overture:e0dca9a5-43d5-4df0-ba30-380f4890ff3c,https://explore.overturemaps.org/#id=e0dca9a5-43d5-4df0-ba30-380f4890ff3c,A,HIGH,0
delta-github-run-31861026561-019.jsonl,26,ACCEPT,,White Oak Cabin Rentals,Smithville,USA,white oak cabin rentals,whiteoakcabinrentals.com,15803067331,cabin,"22707 Zafra Rd, Smithville, OK",http://www.whiteoakcabinrentals.com/,laina82_2001@yahoo.com,,https://www.instagram.com/whiteoakcabinrentals/,,,,overture:e1ac39f9-8347-4c5b-b17d-7acb3cca5399,https://explore.overturemaps.org/#id=e1ac39f9-8347-4c5b-b17d-7acb3cca5399,A,HIGH,0
delta-github-run-31861026561-019.jsonl,27,REJECT,bad identity: government domain mismatch,Wichita Falls Property Management,Wichita Falls,USA,wichita falls property management,wichitafallstx.gov,19407618816,government_office,"1300 7th St, Wichita Falls, TX",http://www.wichitafallstx.gov,puebloboxing@yahoo.com,,,,,,overture:97a30a5c-d391-43c2-9852-66898e566f22,https://explore.overturemaps.org/#id=97a30a5c-d391-43c2-9852-66898e566f22,A,PERMISSIVE,1
delta-github-run-31861026561-019.jsonl,28,ACCEPT,,Wildcat Property Management,Manhattan,USA,wildcat property management,wildcatproperty.com,17855372332,property_management,"2601 Anderson Ave, Manhattan, KS",http://www.wildcatproperty.com/,christel@wildcatproperty.com,,,,,,overture:fcec226f-35b2-4b31-b959-c3dc8a7132b2,https://explore.overturemaps.org/#id=fcec226f-35b2-4b31-b959-c3dc8a7132b2,A,PERMISSIVE,1
delta-github-run-31861026561-019.jsonl,29,ACCEPT,,Wilkinson Property Management,Alexandria,USA,wilkinson property management,wilkinsonpm.com,17039711800,property_management,"6271 Franconia Rd, Alexandria, VA",http://www.wilkinsonpm.com/,info@wilkinsonpm.com,,,,,,overture:09dfb0bd-148c-4021-9a16-29918fb3ceba,https://explore.overturemaps.org/#id=09dfb0bd-148c-4021-9a16-29918fb3ceba,A,PERMISSIVE,1
delta-github-run-31861026561-019.jsonl,30,ACCEPT,,Wintergreen Adaptive Sports,Roseland,USA,wintergreen adaptive sports,wintergreenadaptivesports.org,14343252007,ski_resort,"11 Grassy Rdg, Roseland, VA",http://wintergreenadaptivesports.org,truvalhdw@aol.com,,https://www.instagram.com/wintergreen_adaptive_sports/,,,,overture:2274549d-5ec3-403a-9570-3c6f80f28be0,https://explore.overturemaps.org/#id=2274549d-5ec3-403a-9570-3c6f80f28be0,B,MEDIUM,0
delta-github-run-31861026561-019.jsonl,31,ACCEPT,,Wintergreen Resort,Waynesboro,USA,wintergreen resort,wintergreenresort.com,14343252200,ski_resort,"Waynesboro, VA",http://www.wintergreenresort.com/,info@wintergreenresort.com,,,,,,overture:d5fc1d72-3b48-4eae-96b2-495a6abb17a0,https://explore.overturemaps.org/#id=d5fc1d72-3b48-4eae-96b2-495a6abb17a0,B,HIGH,0
delta-github-run-31861026561-019.jsonl,32,ACCEPT,,Wise Property Management,Dexter,USA,wise property management,wisepropertymng.com,16205067578,property_management,"104 N Mulberry St, Dexter, KS",http://www.wisepropertymng.com/,aaron@wisepropertymng.com,,,,,,overture:b4d172e2-1ee1-45fe-8e90-d690e28a6fa9,https://explore.overturemaps.org/#id=b4d172e2-1ee1-45fe-8e90-d690e28a6fa9,A,PERMISSIVE,1
delta-github-run-31861026561-019.jsonl,33,ACCEPT,,Wortham Property Management,Wichita Falls,USA,wortham property management,worthampm.com,19402644663,property_management,"3606 Grant St, Wichita Falls, TX",http://www.worthampm.com/,sandra@worthampm.com,,,,,,overture:674cf810-f49d-4993-b8a2-b7e2cd22b42e,https://explore.overturemaps.org/#id=674cf810-f49d-4993-b8a2-b7e2cd22b42e,A,MEDIUM,1
delta-github-run-31861026561-019.jsonl,34,ACCEPT,,Western Property Management,Duncan,USA,western property management,wpmonline.com,5802525038,property_management,"2537 N Highway 81, Duncan, OK",http://www.wpmonline.com,bobwalter1@aol.com,,,,,,overture:fa2af001-63e6-4ce4-8004-f56da8ce0b46,https://explore.overturemaps.org/#id=fa2af001-63e6-4ce4-8004-f56da8ce0b46,A,MEDIUM,1
delta-github-run-31861026561-019.jsonl,35,ACCEPT,,Wyatt Realty and Property Management,Lubbock,USA,wyatt realty and property management,wyattrealtylubbock.com,18066803405,real_estate_service,"2514 82nd St, Lubbock, TX",http://www.wyattrealtylubbock.com/,vince@wyattrealtylubbock.com,,,,,,overture:b92f9657-c0d2-44f2-9766-ba0e2cbf4473,https://explore.overturemaps.org/#id=b92f9657-c0d2-44f2-9766-ba0e2cbf4473,A,PERMISSIVE,1
delta-github-run-31861026561-019.jsonl,36,ACCEPT,,Travelodge by Wyndham Sunset Beach Oceanfront,Huntington Beach,USA,travelodge by wyndham sunset beach oceanfront,wyndhamhotels.com,17144214451,hotel,"17205 Pacific Coast Hwy, Huntington Beach, CA",https://www.wyndhamhotels.com/travelodge/sunset-beach-california/travelodge-sunset-huntington-beach-ocean-front/overview,nazrulkhan63@yahoo.com,,,,,,overture:43f40094-5a9c-43e6-bcce-b58fab93ce0e,https://explore.overturemaps.org/#id=43f40094-5a9c-43e6-bcce-b58fab93ce0e,B,HIGH,0
delta-github-run-31861026561-019.jsonl,37,ACCEPT,,Zindis Vacation Rentals,Sardinal,Costa Rica,zindis vacation rentals,zindis.com,50626720049,property_management,"Office #1 & #2 Hermosa Heights Carrillo, Sardinal",http://www.zindis.com/,reservations@zindis.com,,,,,,overture:bf2c72bf-2705-4486-8ee9-1b064688bc23,https://explore.overturemaps.org/#id=bf2c72bf-2705-4486-8ee9-1b064688bc23,A,HIGH,1
delta-github-run-31863169781-001.jsonl,1,ACCEPT,,1life2live property management,Bucerías,Mexico,1life2live property management,1life2livepropertymanagement.com,3222378886,holiday_rental_home,"Calle Ricardo Flores Magón 122, Bucerías",https://www.1life2livepropertymanagement.com/,1llife2livepropertymanagement@gmail.com,,,,,,overture:483ff482-ce1c-4e56-94ec-8e6eb901d9c4,https://explore.overturemaps.org/#id=483ff482-ce1c-4e56-94ec-8e6eb901d9c4,A,PERMISSIVE,1
delta-github-run-31863169781-001.jsonl,2,ACCEPT,,East Cape Property Management and Vacation Rentals,La Paz,Mexico,east cape property management and vacation rentals,abajavacation.com,526241410381,holiday_rental_home,"Plaza Del Pueblo, Los Barriles 8-17, La Paz, BCS",http://www.abajavacation.com/,bajarent@gmail.com,,,,,,overture:85f401a4-8fc6-40e1-9853-6e10b1afe464,https://explore.overturemaps.org/#id=85f401a4-8fc6-40e1-9853-6e10b1afe464,A,HIGH,0
delta-github-run-31863169781-001.jsonl,3,ACCEPT,,"Casa Luna Los Cabos Luxury Villa, Oceanfront, Private pool",Los Cabos,Mexico,casa luna los cabos luxury villa oceanfront private pool,,526645785498,hotel,"Carretera Transpeninsular 2, Los Cabos, BCS",,casalunacabos@gmail.com,,,,,http://airbnb.mx/h/casalunaloscabos,overture:a64149e3-89d2-43ce-8faa-77e2faeffd08,https://explore.overturemaps.org/#id=a64149e3-89d2-43ce-8faa-77e2faeffd08,B,HIGH,0
delta-github-run-31863169781-001.jsonl,4,ACCEPT,,Almar Resort,Puerto Vallarta,Mexico,almar resort,almarresort.com,523222224888,resort,"Calle Amapas 380, Puerto Vallarta",http://www.almarresort.com,info@almarresort.com,,,,,,overture:42f42856-9703-45da-a662-3acdaa87aac8,https://explore.overturemaps.org/#id=42f42856-9703-45da-a662-3acdaa87aac8,B,HIGH,0
delta-github-run-31863169781-001.jsonl,5,ACCEPT,,Amor Boutique Hotel,Bahía de Banderas,Mexico,amor boutique hotel,amorboutiquehotel.com,523292987212,resort,"Pescadores S/N, Bahía de Banderas",http://www.amorboutiquehotel.com/,info@amorboutiquehotel.com,,https://www.instagram.com/amorboutiquehotel/,,,,overture:8535abbc-d0f1-441c-9802-67728157cb51,https://explore.overturemaps.org/#id=8535abbc-d0f1-441c-9802-67728157cb51,B,HIGH,0
delta-github-run-31863169781-001.jsonl,6,ACCEPT,,Andreas Vacation Rentals,Bahía de Banderas,Mexico,andreas vacation rentals,andreasvacationrentals.com,17077993558,holiday_rental_home,"Avenida del Palmar 94, Bahía de Banderas",http://www.andreasvacationrentals.com/,andreasvacationrentals@gmail.com,,,,,,overture:0a3ad064-43df-4d37-b126-ab48fb94825b,https://explore.overturemaps.org/#id=0a3ad064-43df-4d37-b126-ab48fb94825b,A,HIGH,0
delta-github-run-31863169781-001.jsonl,7,ACCEPT,,Arch Cabo Luxury Rentals,Cabo San Lucas,Mexico,arch cabo luxury rentals,archcaborentals.com,526241549659,holiday_rental_home,"Boulevard Paseo de la Marina 6, Cabo San Lucas, BCS",http://archcaborentals.com/,rent@archcaborentals.com,,,,,,overture:b92f4098-d443-4f34-a729-77d9a6bae07e,https://explore.overturemaps.org/#id=b92f4098-d443-4f34-a729-77d9a6bae07e,A,HIGH,0
delta-github-run-31863169781-001.jsonl,8,ACCEPT,,Arpent Realty and Property Management,Chalmette,USA,arpent realty and property management,arpentnola.com,15043563897,property_management,"2211 Jackson Blvd, Chalmette, LA",https://www.arpentnola.com/,admin@arpentnola.com,,,,,,overture:d72ad37f-4ff6-4e69-b0bd-72ca3ebe7222,https://explore.overturemaps.org/#id=d72ad37f-4ff6-4e69-b0bd-72ca3ebe7222,A,MEDIUM,1
delta-github-run-31863169781-001.jsonl,9,ACCEPT,,Avila Property Management,Bahía de Banderas,Mexico,avila property management,avilapromgmt.com,523222451712,property_management,"Avenida Revolución 2, Bahía de Banderas",http://www.avilapromgmt.com/,frontdesk@avilapromgmt.com,,,,,,overture:7ff36083-1885-4750-bd8a-51777bbb45b6,https://explore.overturemaps.org/#id=7ff36083-1885-4750-bd8a-51777bbb45b6,A,PERMISSIVE,1
delta-github-run-31863169781-001.jsonl,10,ACCEPT,,Beach Time Vacation,Port St Joe,USA,beach time vacation,beachtimevacation.com,18502707736,holiday_rental_home,"1252 Cape San Blas Rd, Port St Joe, FL",http://www.beachtimevacation.com,jhart@beachtimevacation.com,,,,,,overture:2dc7601a-66e5-4438-bd4d-f9bd1c59360d,https://explore.overturemaps.org/#id=2dc7601a-66e5-4438-bd4d-f9bd1c59360d,A,HIGH,0
delta-github-run-31863169781-001.jsonl,11,ACCEPT,,Bella Coastal Vacation Rentals,Port St Joe,USA,bella coastal vacation rentals,bellacoastalrentals.com,18502026389,holiday_rental_home,"116 Sailors Cove Dr, Port St Joe, FL",http://bellacoastalrentals.com/,info@bellacoastalrentals.com,,https://www.instagram.com/bellacoastalrentals/,,,,overture:cdb1f23b-cf56-4080-99dd-f4a4dd3f530f,https://explore.overturemaps.org/#id=cdb1f23b-cf56-4080-99dd-f4a4dd3f530f,A,HIGH,0
delta-github-run-31863169781-001.jsonl,12,ACCEPT,,Bellamare Property Management,San José del Cabo,Mexico,bellamare property management,bellamare.com.mx,527757508560,home_improvement_store,"Calle Paseo de los Marinos 1400, San José del Cabo, BCS",https://bellamare.com.mx/,info@bellamare.com.mx,,,,,,overture:8ac557c1-02f1-484b-9673-fdb518035550,https://explore.overturemaps.org/#id=8ac557c1-02f1-484b-9673-fdb518035550,A,PERMISSIVE,1
delta-github-run-31863169781-001.jsonl,13,ACCEPT,,"Sippin’ Sunsets - Cape San Blas, FL",Port St Joe,USA,sippin sunsets cape san blas fl,beourguestvh.com,17706561159,hotel,"106 Barbados Dr, Port St Joe, FL",https://www.beourguestvh.com/cape-san-blas-vacation-rentals/sippin-sunsets,bud.huey87@gmail.com,,,,,,overture:99205b92-f4a7-4b93-8379-37b86d5442b0,https://explore.overturemaps.org/#id=99205b92-f4a7-4b93-8379-37b86d5442b0,A,HIGH,0
delta-github-run-31863169781-001.jsonl,14,ACCEPT,,Black Sands Lodge,Bahía Solano,Colombia,black sands lodge,blacksandslodge.com,573104658288,beach_resort,"Paraje Paridera, área rural de, área rural de Bahía Solano, Bahía Solano, Chocó, Bahía Solano",https://www.blacksandslodge.com/,info@blacksandslodge.com,,https://www.instagram.com/blacksandslodge/,,,,overture:2e6ac3d1-4135-4450-9ef9-139860d8390c,https://explore.overturemaps.org/#id=2e6ac3d1-4135-4450-9ef9-139860d8390c,B,HIGH,0
delta-github-run-31863169781-001.jsonl,15,ACCEPT,,Bountiful Property Management,Henderson,USA,bountiful property management,bountifulpm.com,17029122612,property_management,"525 Harris St, Henderson, NV",http://www.bountifulpm.com/,claudineblivingston@gmail.com,,,,,,overture:cb97ce46-f4fd-4cc5-aa1d-cd8051322e6c,https://explore.overturemaps.org/#id=cb97ce46-f4fd-4cc5-aa1d-cd8051322e6c,A,PERMISSIVE,1
delta-github-run-31863169781-001.jsonl,16,ACCEPT,,Buena Vista Oceanfront & Hot Springs Resort,Los Cabos,Mexico,buena vista oceanfront hot springs resort,buenavistaresort.mx,526241420099,beach_resort,"B.C.S MX, México 1 105, Los Cabos, BCS",http://www.buenavistaresort.mx/,info@buenavistaresort.mx,,,,,,overture:fc61cae1-775f-4501-a222-fec8344d128e,https://explore.overturemaps.org/#id=fc61cae1-775f-4501-a222-fec8344d128e,B,HIGH,0
delta-github-run-31863169781-001.jsonl,17,ACCEPT,,Cabo Villas,San José del Cabo,Mexico,cabo villas,cabovillasbeachresort.com,526244139199,hotel,"Cjon Del Pescador San Jose Del Cabo Centro, San José del Cabo, BCS",http://www.cabovillasbeachresort.com,info@cabovillasbeachresort.com,,,,,,overture:316ac190-b3b3-4ac2-9726-c3f4668aecc8,https://explore.overturemaps.org/#id=316ac190-b3b3-4ac2-9726-c3f4668aecc8,B,HIGH,0
delta-github-run-31863169781-001.jsonl,18,ACCEPT,,A Mac Shack,Port St Joe,USA,a mac shack,capesanblasvacationrentals.com,18004916126,cottage,"6124 CR-30A, Port St Joe, FL",https://www.capesanblasvacationrentals.com/rentals/a-mac-shack/,amacshack@gmail.com,,,,,,overture:a89c85b1-70b3-45a1-966a-b76acb23dabb,https://explore.overturemaps.org/#id=a89c85b1-70b3-45a1-966a-b76acb23dabb,A,HIGH,0
delta-github-run-31863169781-001.jsonl,19,ACCEPT,,Reclutamiento Casa Dorada Los Cabos Resort & Spa,Cabo San Lucas,Mexico,reclutamiento casa dorada los cabos resort spa,casadorada.com,526241635700,hotel,"Av. del Pescador S/N, Cabo San Lucas, BCS",http://www.casadorada.com/,recursos.humanos@casadorada.com,,,,,,overture:25937ff8-590c-4caf-8d0c-85e10714a331,https://explore.overturemaps.org/#id=25937ff8-590c-4caf-8d0c-85e10714a331,B,HIGH,0
delta-github-run-31863169781-001.jsonl,20,ACCEPT,,Casago Property Management and Vacation Rentals,Bucerías,Mexico,casago property management and vacation rentals,casago.com,523292982108,holiday_rental_home,"Calle Galeana 15d, Bucerías",https://casago.com/puerto-vallarta/,vallartarentals@casago.com,,https://www.instagram.com/casago/,,,,overture:ac6fa1c6-7c08-427e-935a-9bfc6b694fbd,https://explore.overturemaps.org/#id=ac6fa1c6-7c08-427e-935a-9bfc6b694fbd,A,HIGH,0
delta-github-run-31863169781-001.jsonl,21,ACCEPT,,Casa Punta Perula Villas Mountainview,World-Atlas::usa-mexico-caribbean-premium::15-14,Mexico,casa punta perula villas mountainview,casapuntaperula.com,523151131769,holiday_rental_home,,https://casapuntaperula.com/villas-pet-friendly,info@casapuntaperula.com,,https://www.instagram.com/casapuntaperula/,,,,overture:be257caf-6db8-4c04-a973-4275cc5d9063,https://explore.overturemaps.org/#id=be257caf-6db8-4c04-a973-4275cc5d9063,B,HIGH,0
delta-github-run-31863169781-001.jsonl,22,ACCEPT,,Casa Tara Retreat | La Paz,La Paz,Mexico,casa tara retreat la paz,casatararetreat.com,526121031112,beach_resort,"CORREDOR ISLA CERRALVO SN CARRETERA EL SARGENTO - LA PAZ., La Paz, BCS",http://casatararetreat.com/,info@casatararetreat.com,,https://www.instagram.com/casatararetreat/,,,,overture:754bcfc1-ff8f-4ca1-917d-956abbd2480c,https://explore.overturemaps.org/#id=754bcfc1-ff8f-4ca1-917d-956abbd2480c,B,HIGH,0
delta-github-run-31863169781-001.jsonl,23,ACCEPT,,Attitude Adjustment Beach Home,Port St Joe,USA,attitude adjustment beach home,coastaljoevacationrentals.com,18005812910,hotel,"4288 Cape San Blas Rd, Port St Joe, FL",http://www.coastaljoevacationrentals.com/,info@coastaljoevacationrentals.com,,,,,,overture:256b0dd4-a601-4a54-86c9-bd0d974c6a14,https://explore.overturemaps.org/#id=256b0dd4-a601-4a54-86c9-bd0d974c6a14,A,HIGH,0
